Current Procedural Terminology (CPT®) codes, descriptions, and other data are
copyright 1966, 1970, 1973, 1977, 1981, 1983-2024 by the American
Medical Association. All rights reserved.

CPT® is a registered trademark of the American Medical Association.

U.S. GOVERNMENT RIGHTS. CPT is commercial technical data
developed exclusively at the private expense by the American
Medical Association, 330 N. Wabash Ave., Suite 39300,
Chicago, IL 60611-5885. Use does not grant the Federal Government
a direct license to use CPT based on FAR 52.227-14 (Data Rights – General)
and DFARS 252.227-7015 (Technical Data Commercial Items).

This file may not be sold, duplicated, or given
away in whole or in part without the express written
consent of the American Medical Association.

To license additional CPT® products or to request a license
for the distribution of products with CPT® content, visit our website at
https://www.ama-assn.org/practice-management/cpt/ama-cpt-licensing-overview,
or purchase other CPT® products, contact customer service at 800-621-8335.

For the most current CPT® coding information, to learn about the early release
of CPT® codes, and to review the CPT® Errata to bring yourself up to date on corrections,
please visit https://www.ama-assn.org/practice-management/errata-technical-corrections.

Concept Id	CPT Code	Long	Medium	Short	Consumer	Spanish Consumer	Current Descriptor Effective Date	Test Name	Lab Name	Manufacturer Name
1013631	99202	Office or other outpatient visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and straightforward medical decision making. When using total time on the date of the encounter for code selection, 15 minutes must be met or exceeded.	OFFICE/OUTPATIENT NEW SF MDM 15 MINUTES	OFFICE O/P NEW SF 15 MIN	New patient office or other outpatient visit with straightforward medical decision making, if using time, 15 minutes or more	Visita de un nuevo paciente al consultorio u otra consulta externa con un nivel mínimo de toma de decisiones médicas, si consume tiempo, 15 minutos o más	20240101			
1013633	99203	Office or other outpatient visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter for code selection, 30 minutes must be met or exceeded.	OFFICE/OUTPATIENT NEW LOW MDM 30 MINUTES	OFFICE O/P NEW LOW 30 MIN	New patient office or other outpatient visit with low level of medical decision making, if using time, 30 minutes or more	Visita de un nuevo paciente al consultorio u otra consulta externa con un nivel bajo de toma de decisiones médicas, si consume tiempo, 30 minutos o más	20240101			
1013635	99204	Office or other outpatient visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the encounter for code selection, 45 minutes must be met or exceeded.	OFFICE/OUTPATIENT NEW MODERATE MDM 45 MINUTES	OFFICE O/P NEW MOD 45 MIN	New patient office or other outpatient visit with moderate level of medical decision making, if using time, 45 minutes or more	Visita de un nuevo paciente al consultorio u otra consulta externa con un nivel moderado de toma de decisiones médicas, si consume tiempo, 45 minutos o más	20240101			
1013637	99205	Office or other outpatient visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and high level of medical decision making. When using total time on the date of the encounter for code selection, 60 minutes must be met or exceeded.	OFFICE/OUTPATIENT NEW HIGH MDM 60 MINUTES	OFFICE O/P NEW HI 60 MIN	New patient office or other outpatient visit with a high level of medical decision making, if using time, 60 minutes or more	Visita de un nuevo paciente al consultorio u otra consulta externa con un nivel elevado de toma de decisiones médicas, si consume tiempo, 60 minutos o más	20240101			
1013639	99211	Office or other outpatient visit for the evaluation and management of an established patient that may not require the presence of a physician or other qualified health care professional	OFFICE/OUTPATIENT EST PT MAY NOT REQ PHYS/QHP	OFF/OP EST MAY X REQ PHY/QHP	Office or other outpatient visit for the evaluation and management of established patient that may not require presence of healthcare professional	Visita al consultorio u otra consulta externa para la evaluación y la gestión de un paciente establecido que puede no requerir la presencia de un profesional de la salud	20220101			
1013641	99212	Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and straightforward medical decision making. When using total time on the date of the encounter for code selection, 10 minutes must be met or exceeded.	OFFICE/OUTPATIENT ESTABLISHED SF MDM 10 MIN	OFFICE O/P EST SF 10 MIN	Established patient office or other outpatient visit with straightforward medical decision making, if using time, 10 minutes or more	Visita de un paciente establecido al consultorio u otra consulta externa con un nivel mínimo de toma de decisiones médicas, si consume tiempo, 10 minutos o más	20240101			
1013643	99213	Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter for code selection, 20 minutes must be met or exceeded.	OFFICE/OUTPATIENT ESTABLISHED LOW MDM 20 MIN	OFFICE O/P EST LOW 20 MIN	Established patient office or other outpatient visit with low level of decision making, if using time, 20 minutes or more	Visita de un paciente establecido al consultorio u otra consulta externa con un nivel bajo de toma de decisiones médicas, si consume tiempo, 20 minutos o más	20240101			
1013645	99214	Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the encounter for code selection, 30 minutes must be met or exceeded.	OFFICE/OUTPATIENT ESTABLISHED MOD MDM 30 MIN	OFFICE O/P EST MOD 30 MIN	Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more	Visita de un paciente establecido al consultorio u otra consulta externa con un nivel moderado de toma de decisiones médicas, si consume tiempo, 30 minutos o más	20240101			
1013647	99215	Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and high level of medical decision making. When using total time on the date of the encounter for code selection, 40 minutes must be met or exceeded.	OFFICE/OUTPATIENT ESTABLISHED HIGH MDM 40 MIN	OFFICE O/P EST HI 40 MIN	Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more	Visita de un paciente establecido al consultorio u otra consulta externa con un nivel elevado de toma de decisiones médicas, si consume tiempo, 40 minutos o más	20240101			
1038711	98000	Synchronous audio-video visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and straightforward medical decision making. When using total time on the date of the encounter for code selection, 15 minutes must be met or exceeded.	SYNCHRONOUS AUDIO-VIDEO VISIT NEW SF MDM 15 MIN	SYNCH AUDIO-VIDEO NEW SF 15	New patient synchronous audio-video visit with straightforward medical decision making, if using time 15 minutes or more	Visita audiovisual síncrona de un nuevo paciente con un nivel mínimo de toma de decisiones médicas, si consume tiempo, 15 minutos o más	20250101			
